season,date,stadium,awayTeam,homeTeam,awayScores,homeScores,away_total_score,home_total_score,total_score,high_score,home_win,H,HR,2B,3B,BB,SO
中職2024年,2024-06-22 17:06:00,樂天桃園棒球場,富邦悍將,樂天桃猿,"['0', '0', '0', '0', '1', '0', '0', '0', '1']","['0', '0', '0', '1', '4', '0', '0', '2', '0']",2,7,9,0,1,22,1,4,1,2,9
中職2024年,2024-07-12 18:36:00,澄清湖棒球場,樂天桃猿,台鋼雄鷹,"['2', '0', '1', '0', '0', '0', '2', '0', '2']","['0', '1', '0', '0', '0', '0', '0', '0', '1']",7,2,9,0,0,23,1,2,1,4,18
中職2024年,2024-07-17 18:36:00,樂天桃園棒球場,味全龍,樂天桃猿,"['0', '0', '3', '0', '2', '0', '0', '1', '0']","['0', '3', '0', '0', '3', '3', '2', '2', '0']",6,13,19,1,1,32,1,6,1,6,10
中職2024年,2024-05-26 17:05:00,樂天桃園棒球場,味全龍,樂天桃猿,"['0', '0', '0', '2', '0', '0', '0', '1', '1']","['0', '0', '0', '0', '1', '4', '0', '0', '0']",4,5,9,0,1,17,2,3,0,7,9
中職2024年,2024-04-24 18:35:00,臺南市立棒球場,味全龍,統一7-ELEVEn獅,"['2', '0', '3', '2', '0', '3', '0', '1', '0']","['0', '0', '0', '0', '0', '1', '1', '0', '0']",11,2,13,1,0,23,1,4,1,5,13
中職2024年,2024-06-29 17:05:00,新北市立新莊棒球場,統一7-ELEVEn獅,富邦悍將,"['1', '2', '0', '0', '0', '0', '0', '0', '0', '1']","['0', '0', '0', '1', '0', '0', '0', '0', '2', '2']",4,5,9,0,1,16,1,5,1,8,11
中職2024年,2024-04-19 18:35:00,臺南市立棒球場,富邦悍將,統一7-ELEVEn獅,"['0', '0', '0', '0', '0', '0', '1', '0', '0']","['0', '0', '3', '0', '0', '0', '0', '0', '0']",1,3,4,0,1,10,0,3,0,8,19
中職2024年,2024-08-09 18:35:00,新北市立新莊棒球場,味全龍,富邦悍將,"['0', '0', '0', '0', '0', '1', '1', '0', '0']","['0', '1', '0', '0', '0', '0', '0', '0', '0']",2,1,3,0,0,14,1,1,0,4,15
中職2024年,2024-06-15 17:05:00,臺北市立天母棒球場,樂天桃猿,味全龍,"['2', '0', '1', '0', '0', '0', '0', '2', '0']","['0', '0', '0', '0', '0', '0', '2', '0', '0']",5,2,7,0,0,13,2,5,2,4,12
中職2024年,2024-04-06 17:05:00,臺北大巨蛋,中信兄弟,樂天桃猿,"['0', '0', '1', '0', '0', '5', '2', '0', '0']","['3', '0', '0', '0', '0', '0', '0', '3', '3']",8,9,17,1,1,25,0,9,1,13,19
中職2024年,2024-08-02 18:35:00,花蓮縣立德興棒球場,樂天桃猿,味全龍,"['1', '0', '0', '1', '1', '0', '0', '0', '0']","['0', '2', '2', '2', '0', '0', '1', '0', '0']",3,7,10,1,1,17,4,2,0,7,16
中職2024年,2024-07-01 18:35:00,澄清湖棒球場,富邦悍將,台鋼雄鷹,"['1', '3', '2', '0', '0', '0', '1', '4', '2']","['1', '0', '0', '1', '0', '1', '2', '0', '0']",13,5,18,1,0,25,1,7,2,8,11
